EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Age_Group
14,47,Yes,Non-Travel,Research & Development,1,Below College,Medical,1,Male,1,Research Scientist,Married,57620,1.0,Y,11,8,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3,42-51
15,28,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Male,1,Manufacturing Director,Married,25920,1.0,Y,14,8,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3,24-33
16,37,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Male,2,Healthcare Representative,Married,53460,4.0,Y,11,8,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3,33-42
17,21,No,Travel_Rarely,Research & Development,3,College,Life Sciences,1,Male,1,Laboratory Technician,Single,42130,1.0,Y,12,8,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3,15-24
18,37,No,Non-Travel,Research & Development,1,Bachelor,Medical,1,Male,2,Sales Executive,Divorced,41270,2.0,Y,13,8,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3,33-42
19,35,No,Travel_Rarely,Sales,7,Master,Life Sciences,1,Male,1,Sales Representative,Divorced,24380,7.0,Y,16,8,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3,33-42
20,38,No,Travel_Rarely,Research & Development,8,Bachelor,Life Sciences,1,Female,1,Manager,Divorced,68700,1.0,Y,11,8,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3,33-42
21,26,No,Travel_Frequently,Research & Development,1,Master,Other,1,Male,2,Laboratory Technician,Divorced,104470,1.0,Y,18,8,0,6.0,3,6,1,4,3.0,2.0,1.0,3,3,24-33
22,50,No,Travel_Rarely,Sales,8,Master,Life Sciences,1,Male,1,Research Scientist,Divorced,96670,3.0,Y,23,8,0,28.0,2,10,1,6,1.0,2.0,2.0,2,4,42-51
23,53,No,Travel_Rarely,Research & Development,11,Master,Life Sciences,1,Female,2,Research Scientist,Married,21480,3.0,Y,11,8,0,21.0,2,5,1,3,3.0,3.0,2.0,3,3,51-60
24,42,No,Travel_Rarely,Research & Development,4,Master,Life Sciences,1,Male,1,Manufacturing Director,Married,89260,1.0,Y,14,8,0,,4,20,11,6,2.0,3.0,3.0,1,3,42-51
25,29,No,Travel_Frequently,Research & Development,16,Master,Medical,1,Male,1,Laboratory Technician,Single,65130,1.0,Y,11,8,1,10.0,2,10,0,9,2.0,4.0,2.0,3,3,24-33
26,55,No,Travel_Rarely,Research & Development,1,Master,Other,1,Female,1,Research Scientist,Married,67990,3.0,Y,11,8,0,12.0,2,10,0,8,2.0,4.0,3.0,3,3,51-60
27,26,No,Travel_Frequently,Research & Development,9,Bachelor,Life Sciences,1,Female,1,Manager,Married,162910,1.0,Y,22,8,0,5.0,3,5,3,3,1.0,1.0,3.0,3,4,24-33
28,37,No,Travel_Rarely,Sales,5,Below College,Marketing,1,Male,1,Research Scientist,Single,27050,1.0,Y,11,8,0,17.0,2,17,5,7,4.0,4.0,3.0,3,3,33-42
29,44,Yes,Travel_Frequently,Research & Development,1,College,Medical,1,Male,2,Research Scientist,Divorced,103330,3.0,Y,14,8,1,19.0,2,1,0,0,4.0,3.0,1.0,2,3,42-51
30,38,No,Travel_Rarely,Sales,2,Bachelor,Marketing,1,Female,1,Manager,Divorced,44480,9.0,Y,12,8,0,10.0,3,2,1,2,4.0,4.0,3.0,2,3,33-42
31,26,Yes,Travel_Rarely,Research & Development,4,Bachelor,Medical,1,Male,3,Research Scientist,Divorced,68540,2.0,Y,11,8,0,5.0,5,3,0,2,1.0,2.0,3.0,2,3,24-33
32,28,No,Travel_Rarely,Research & Development,7,Bachelor,Other,1,Male,1,Human Resources,Single,96370,1.0,Y,13,8,0,5.0,6,5,0,2,4.0,4.0,3.0,2,3,24-33
33,49,No,Travel_Frequently,Research & Development,1,Below College,Medical,1,Female,2,Research Scientist,Single,35910,9.0,Y,13,8,0,22.0,2,3,1,2,3.0,1.0,3.0,3,3,42-51
34,36,No,Travel_Rarely,Sales,5,Bachelor,Technical Degree,1,Male,3,Sales Executive,Single,54050,4.0,Y,14,8,0,10.0,2,8,7,7,3.0,2.0,3.0,3,3,33-42
35,31,No,Travel_Frequently,Research & Development,9,Master,Medical,1,Male,1,Sales Executive,Divorced,46840,1.0,Y,16,8,1,2.0,4,2,2,2,4.0,2.0,2.0,3,3,24-33
36,26,Yes,Travel_Rarely,Research & Development,8,Bachelor,Medical,1,Male,2,Manager,Single,157870,1.0,Y,12,8,2,8.0,5,8,7,4,4.0,4.0,3.0,3,3,24-33
37,37,No,Travel_Frequently,Sales,9,Below College,Marketing,1,Male,1,Laboratory Technician,Married,15140,1.0,Y,14,8,0,4.0,3,4,1,2,2.0,4.0,2.0,3,3,33-42
38,42,No,Travel_Frequently,Sales,2,College,Marketing,1,Male,3,Research Director,Married,29560,5.0,Y,13,8,0,23.0,2,20,4,8,3.0,2.0,4.0,3,3,42-51
39,18,Yes,Travel_Rarely,Research & Development,1,Master,Life Sciences,1,Male,1,Sales Executive,Single,23350,1.0,Y,14,8,2,0.0,3,0,0,0,3.0,3.0,3.0,2,3,15-24
40,35,No,Travel_Rarely,Sales,20,College,Life Sciences,1,Male,1,Laboratory Technician,Married,51540,0.0,Y,19,8,0,12.0,2,11,6,9,3.0,2.0,2.0,2,3,33-42
41,36,No,Travel_Frequently,Research & Development,8,Bachelor,Other,1,Female,3,Sales Executive,Married,69620,4.0,Y,12,8,2,4.0,2,1,0,0,3.0,3.0,3.0,2,3,33-42
42,51,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,1,Male,2,Laboratory Technician,Divorced,56750,5.0,Y,13,8,0,13.0,2,4,1,2,4.0,2.0,3.0,2,3,51-60
43,41,No,Travel_Rarely,Research & Development,29,Below College,Life Sciences,1,Male,1,Laboratory Technician,Single,23790,1.0,Y,12,8,0,22.0,6,22,0,4,4.0,2.0,3.0,3,3,33-42
44,18,No,Travel_Rarely,Sales,7,Bachelor,Life Sciences,1,Male,1,Research Scientist,Single,38120,1.0,Y,15,8,0,0.0,3,0,0,0,4.0,3.0,3.0,3,3,15-24
45,28,No,Travel_Rarely,Research & Development,9,Bachelor,Medical,1,Male,1,Sales Representative,Single,46480,0.0,Y,23,8,2,9.0,2,8,0,7,2.0,1.0,3.0,2,4,24-33
46,31,No,Travel_Rarely,Research & Development,8,Below College,Technical Degree,1,Male,1,Manufacturing Director,Married,29360,4.0,Y,12,8,1,10.0,2,8,7,7,2.0,4.0,2.0,3,3,24-33
47,39,No,Travel_Rarely,Sales,5,Master,Marketing,1,Female,2,Human Resources,Divorced,21050,0.0,Y,20,8,0,19.0,3,18,3,7,3.0,4.0,2.0,3,4,33-42
48,36,No,Non-Travel,Research & Development,5,Master,Life Sciences,1,Male,1,Sales Executive,Married,85780,7.0,Y,21,8,0,11.0,4,9,0,8,2.0,2.0,3.0,3,4,33-42
49,32,No,Travel_Rarely,Sales,2,Bachelor,Marketing,1,Male,2,Laboratory Technician,Married,27060,1.0,Y,21,8,1,13.0,4,13,4,8,4.0,3.0,2.0,3,4,24-33
50,38,No,Travel_Rarely,Research & Development,5,College,Life Sciences,1,Female,3,Research Scientist,Married,63840,3.0,Y,19,8,2,19.0,4,10,0,1,1.0,2.0,3.0,2,3,33-42
51,58,No,Non-Travel,Research & Development,2,Bachelor,Life Sciences,1,Male,2,Manufacturing Director,Divorced,39680,2.0,Y,13,8,2,12.0,3,5,1,2,4.0,3.0,3.0,2,3,51-60
52,31,No,Travel_Rarely,Research & Development,20,Below College,Technical Degree,1,Female,3,Research Scientist,Married,99070,0.0,Y,13,8,1,6.0,3,5,0,3,3.0,4.0,3.0,2,3,24-33
53,31,No,Travel_Rarely,Sales,7,Master,Marketing,1,Male,2,Sales Executive,Married,132250,3.0,Y,21,8,1,9.0,2,2,1,0,1.0,1.0,3.0,3,4,24-33
54,45,No,Travel_Frequently,Research & Development,3,Below College,Medical,1,Female,1,Sales Executive,Divorced,35400,1.0,Y,13,8,0,24.0,6,24,9,11,1.0,1.0,3.0,3,3,42-51
55,31,No,Travel_Rarely,Sales,16,Master,Marketing,1,Female,2,Research Scientist,Divorced,28040,0.0,Y,19,8,2,3.0,0,2,2,2,3.0,4.0,1.0,3,3,24-33
56,33,No,Travel_Frequently,Research & Development,9,Bachelor,Life Sciences,1,Male,4,Research Director,Married,193920,6.0,Y,12,8,1,12.0,3,10,8,8,4.0,2.0,3.0,3,3,33-42
57,39,No,Travel_Rarely,Sales,1,Master,Life Sciences,1,Male,1,Sales Executive,Married,196650,1.0,Y,22,8,1,21.0,6,21,11,10,3.0,1.0,3.0,3,4,33-42
58,43,No,Travel_Frequently,Research & Development,7,Master,Medical,1,Male,4,Research Scientist,Single,24390,0.0,Y,15,8,0,9.0,2,8,1,7,3.0,4.0,3.0,3,3,42-51
59,49,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Male,3,Manufacturing Director,Single,73140,7.0,Y,22,8,0,25.0,2,7,0,7,3.0,3.0,3.0,3,4,42-51
60,52,Yes,Travel_Rarely,Research & Development,7,Below College,Life Sciences,1,Female,2,Research Scientist,Married,47740,2.0,Y,18,8,1,11.0,2,8,7,7,3.0,2.0,2.0,3,3,51-60
61,27,No,Travel_Rarely,Research & Development,15,Master,Medical,1,Male,3,Research Scientist,Single,39020,1.0,Y,22,8,0,4.0,2,4,1,2,3.0,2.0,2.0,3,4,24-33
62,32,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Male,3,Research Scientist,Married,26620,1.0,Y,11,8,1,13.0,6,13,11,9,3.0,2.0,3.0,4,3,24-33
63,27,No,Travel_Rarely,Research & Development,13,College,Medical,1,Female,4,Research Director,Single,28560,1.0,Y,12,8,2,5.0,5,5,0,4,4.0,3.0,3.0,4,3,24-33
64,31,No,Travel_Rarely,Sales,24,Bachelor,Life Sciences,1,Male,2,Healthcare Representative,Divorced,10810,4.0,Y,11,8,3,13.0,4,7,1,7,4.0,4.0,3.0,4,3,24-33
65,32,No,Travel_Rarely,Research & Development,7,Bachelor,Technical Degree,1,Male,2,Healthcare Representative,Single,24720,7.0,Y,13,8,0,10.0,2,7,0,7,1.0,4.0,2.0,3,3,24-33
66,28,Yes,Travel_Rarely,Research & Development,9,Master,Medical,1,Male,1,Sales Executive,Married,56730,5.0,Y,14,8,1,5.0,4,3,2,2,1.0,4.0,2.0,2,3,24-33
67,30,No,Travel_Rarely,Research & Development,13,Bachelor,Life Sciences,1,Female,4,Research Director,Married,41970,1.0,Y,13,8,0,11.0,3,10,1,9,4.0,4.0,3.0,3,3,24-33
68,31,No,Travel_Frequently,Research & Development,2,Below College,Life Sciences,1,Female,1,Manager,Married,97130,1.0,Y,17,8,0,10.0,5,10,8,9,3.0,3.0,3.0,2,3,24-33
69,39,No,Travel_Frequently,Research & Development,19,Master,Medical,1,Female,1,Research Scientist,Married,20620,1.0,Y,13,8,0,21.0,4,21,13,3,3.0,4.0,3.0,3,3,33-42
70,39,Yes,Travel_Rarely,Research & Development,1,Below College,Medical,1,Female,1,Laboratory Technician,Married,42840,4.0,Y,17,8,1,12.0,0,1,0,0,4.0,3.0,2.0,3,3,33-42
71,33,No,Travel_Frequently,Sales,4,College,Life Sciences,1,Male,4,Research Scientist,Single,47880,3.0,Y,11,8,1,9.0,0,7,0,1,2.0,4.0,2.0,3,3,33-42
72,47,No,Travel_Rarely,Research & Development,4,Bachelor,Life Sciences,1,Female,2,Healthcare Representative,Married,59060,4.0,Y,23,8,0,21.0,4,3,1,1,4.0,3.0,3.0,4,4,42-51
73,43,No,Travel_Frequently,Research & Development,14,Bachelor,Medical,1,Female,5,Research Director,Divorced,38860,1.0,Y,17,8,2,9.0,2,9,0,0,3.0,3.0,4.0,3,3,42-51
74,27,No,Non-Travel,Research & Development,2,Bachelor,Life Sciences,1,Male,1,Research Director,Married,168230,0.0,Y,17,8,0,6.0,3,5,1,4,3.0,2.0,3.0,3,3,24-33
75,54,No,Travel_Frequently,Research & Development,1,Master,Life Sciences,1,Male,2,Research Scientist,Single,29330,3.0,Y,12,8,2,20.0,2,4,0,3,4.0,3.0,2.0,3,3,51-60
76,43,No,Travel_Rarely,Research & Development,7,College,Life Sciences,1,Female,2,Manager,Married,65000,8.0,Y,23,8,0,10.0,3,1,0,0,3.0,1.0,2.0,3,4,42-51
77,45,No,Travel_Rarely,Sales,3,Below College,Marketing,1,Female,1,Sales Executive,Married,171740,9.0,Y,14,8,1,12.0,6,10,9,8,4.0,4.0,3.0,3,3,42-51
78,40,No,Travel_Rarely,Research & Development,2,Master,Other,1,Male,4,Research Scientist,Married,50330,2.0,Y,14,8,2,6.0,6,4,0,2,2.0,4.0,2.0,3,3,33-42
79,29,Yes,Travel_Rarely,Research & Development,29,Bachelor,Medical,1,Female,1,Research Scientist,Married,23070,1.0,Y,13,8,1,7.0,0,7,0,7,2.0,1.0,2.0,3,3,24-33
80,29,No,Travel_Rarely,Human Resources,8,Bachelor,Medical,1,Male,3,Sales Representative,Single,25870,0.0,Y,22,8,2,4.0,3,3,2,2,2.0,4.0,3.0,3,4,24-33
81,30,No,Travel_Rarely,Research & Development,10,Bachelor,Life Sciences,1,Male,2,Research Scientist,Divorced,55070,1.0,Y,12,8,2,10.0,2,10,1,2,4.0,3.0,3.0,2,3,24-33
82,27,No,Travel_Rarely,Research & Development,11,College,Medical,1,Male,1,Manager,Married,43930,1.0,Y,18,8,1,8.0,2,8,0,7,2.0,2.0,3.0,2,3,24-33
83,37,No,Travel_Rarely,Sales,1,Master,Life Sciences,1,Male,2,Healthcare Representative,Divorced,133480,7.0,Y,14,8,0,8.0,4,6,0,4,4.0,4.0,2.0,3,3,33-42
84,38,No,Travel_Rarely,Research & Development,28,Master,Medical,1,Male,1,Laboratory Technician,Divorced,65830,0.0,Y,12,8,0,12.0,1,11,2,9,3.0,4.0,3.0,3,3,33-42
85,31,No,Travel_Rarely,Research & Development,6,Bachelor,Medical,1,Female,3,Manager,Single,81030,1.0,Y,15,8,1,11.0,5,11,4,10,3.0,4.0,3.0,3,3,24-33
86,29,No,Travel_Rarely,Research & Development,3,Master,Life Sciences,1,Male,3,Sales Executive,Divorced,39780,1.0,Y,11,8,0,7.0,0,7,1,7,4.0,2.0,3.0,3,3,24-33
87,35,No,Travel_Rarely,Sales,16,College,Technical Degree,1,Male,3,Manager,Single,25440,0.0,Y,13,8,1,17.0,3,16,0,13,3.0,2.0,3.0,4,3,33-42
88,23,No,Travel_Rarely,Research & Development,20,Master,Life Sciences,1,Male,1,Manufacturing Director,Divorced,53990,1.0,Y,23,8,0,4.0,2,4,0,2,3.0,4.0,2.0,2,4,15-24
89,41,No,Travel_Rarely,Research & Development,9,College,Life Sciences,1,Female,1,Laboratory Technician,Single,54870,6.0,Y,19,8,2,8.0,0,5,1,2,4.0,2.0,3.0,3,3,33-42
90,47,No,Travel_Frequently,Sales,1,Bachelor,Medical,1,Female,2,Laboratory Technician,Single,68340,3.0,Y,16,8,1,5.0,2,0,0,0,2.0,3.0,3.0,4,3,42-51
91,42,No,Travel_Rarely,Research & Development,3,Master,Life Sciences,1,Male,1,Manager,Single,10910,2.0,Y,22,8,0,16.0,0,1,0,0,1.0,4.0,3.0,1,4,42-51
92,29,No,Non-Travel,Sales,22,Master,Marketing,1,Male,2,Human Resources,Married,57360,1.0,Y,22,8,0,4.0,1,4,0,2,4.0,3.0,2.0,2,4,24-33
93,42,No,Travel_Rarely,Sales,7,Master,Medical,1,Male,3,Research Scientist,Divorced,22260,0.0,Y,12,8,1,4.0,3,3,1,0,3.0,3.0,3.0,2,3,42-51
94,32,No,Travel_Rarely,Research & Development,2,Bachelor,Medical,1,Male,2,Research Scientist,Married,57470,1.0,Y,13,8,0,8.0,0,8,0,7,3.0,2.0,3.0,3,3,24-33
95,48,No,Travel_Rarely,Sales,13,Master,Medical,1,Male,4,Sales Executive,Married,98540,3.0,Y,16,8,1,15.0,2,0,0,0,1.0,3.0,1.0,2,3,42-51
96,37,No,Travel_Rarely,Research & Development,8,Doctor,Technical Degree,1,Male,2,Manufacturing Director,Divorced,54670,4.0,Y,12,8,0,13.0,2,7,6,7,3.0,1.0,3.0,3,3,33-42
97,30,No,Non-Travel,Sales,25,Master,Other,1,Male,1,Healthcare Representative,Married,53800,7.0,Y,21,8,1,4.0,0,2,2,2,4.0,3.0,4.0,3,4,24-33
98,26,No,Travel_Rarely,Sales,28,Bachelor,Medical,1,Female,5,Laboratory Technician,Married,51510,1.0,Y,15,8,3,8.0,3,8,7,7,3.0,3.0,3.0,3,3,24-33
99,42,No,Travel_Rarely,Sales,2,College,Medical,1,Female,1,Laboratory Technician,Single,21330,3.0,Y,13,8,2,14.0,2,1,0,0,1.0,4.0,3.0,3,3,42-51
100,21,Yes,Travel_Frequently,Research & Development,9,Bachelor,Medical,1,Female,4,Manufacturing Director,Single,178750,1.0,Y,12,8,0,3.0,5,3,1,2,1.0,2.0,3.0,2,3,15-24
101,36,No,Non-Travel,Human Resources,28,Bachelor,Human Resources,1,Male,2,Laboratory Technician,Single,24320,4.0,Y,22,8,0,7.0,4,1,0,0,4.0,4.0,3.0,1,4,33-42
102,36,No,Travel_Frequently,Research & Development,6,Bachelor,Life Sciences,1,Female,2,Research Scientist,Married,47710,4.0,Y,13,8,1,16.0,2,13,1,12,1.0,4.0,3.0,3,3,33-42
103,57,No,Travel_Rarely,Research & Development,21,Master,Life Sciences,1,Male,5,Research Scientist,Married,191610,2.0,Y,18,8,0,15.0,2,3,1,2,4.0,3.0,3.0,1,3,51-60
104,40,No,Travel_Rarely,Research & Development,8,Bachelor,Other,1,Male,2,Sales Executive,Married,50870,3.0,Y,14,8,1,10.0,3,7,1,7,4.0,3.0,3.0,3,3,33-42
105,21,No,Non-Travel,Research & Development,1,Doctor,Life Sciences,1,Female,2,Manager,Single,28630,1.0,Y,14,8,0,3.0,2,3,2,2,1.0,4.0,2.0,1,3,15-24
106,33,Yes,Travel_Rarely,Human Resources,28,College,Human Resources,1,Female,5,Manager,Single,55610,1.0,Y,21,8,1,1.0,3,1,0,0,4.0,3.0,3.0,1,4,33-42
107,37,No,Travel_Rarely,Research & Development,5,Bachelor,Life Sciences,1,Male,4,Research Scientist,Married,21440,6.0,Y,19,8,0,17.0,3,5,0,3,3.0,1.0,3.0,4,3,33-42
108,46,No,Non-Travel,Sales,2,Master,Marketing,1,Female,2,Laboratory Technician,Married,30650,2.0,Y,11,8,0,7.0,3,1,0,0,3.0,3.0,4.0,3,3,42-51
109,41,Yes,Travel_Frequently,Research & Development,16,Below College,Medical,1,Female,1,Research Scientist,Single,28100,1.0,Y,11,8,0,8.0,3,8,7,7,1.0,2.0,3.0,4,3,33-42
110,50,No,Travel_Rarely,Research & Development,9,Bachelor,Medical,1,Female,3,Laboratory Technician,Single,98880,6.0,Y,15,8,0,20.0,2,4,1,3,4.0,4.0,3.0,3,3,42-51
111,40,Yes,Travel_Rarely,Research & Development,8,Bachelor,Medical,1,Female,1,Healthcare Representative,Married,86280,2.0,Y,20,8,0,8.0,2,6,1,0,3.0,3.0,3.0,2,4,33-42
112,31,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Male,4,Human Resources,Single,28670,0.0,Y,24,8,0,3.0,5,2,2,2,3.0,2.0,3.0,3,4,24-33
113,21,Yes,Travel_Rarely,Human Resources,10,College,Human Resources,1,Male,1,Laboratory Technician,Single,53730,1.0,Y,12,8,1,1.0,2,1,0,0,3.0,2.0,3.0,3,3,15-24
114,29,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Female,2,Research Director,Single,66670,9.0,Y,12,8,1,6.0,6,3,1,2,4.0,4.0,3.0,4,3,24-33
115,35,No,Travel_Rarely,Research & Development,29,Bachelor,Life Sciences,1,Female,3,Sales Executive,Single,50030,9.0,Y,15,8,0,10.0,2,1,0,0,3.0,2.0,3.0,3,3,33-42
116,27,No,Travel_Rarely,Sales,2,Bachelor,Life Sciences,1,Male,1,Sales Executive,Divorced,23670,1.0,Y,12,8,1,5.0,2,5,0,4,4.0,2.0,3.0,3,3,24-33
117,28,No,Travel_Rarely,Research & Development,2,College,Medical,1,Male,3,Manager,Single,28580,1.0,Y,12,8,0,7.0,2,7,0,7,2.0,4.0,3.0,2,3,24-33
118,49,No,Travel_Rarely,Sales,2,Bachelor,Technical Degree,1,Male,2,Manufacturing Director,Single,52040,8.0,Y,14,8,1,26.0,3,5,0,0,2.0,3.0,3.0,3,3,42-51
119,51,No,Travel_Rarely,Research & Development,1,College,Life Sciences,1,Male,1,Sales Executive,Married,41050,4.0,Y,22,8,1,18.0,2,7,0,7,3.0,4.0,2.0,3,4,51-60
120,36,No,Travel_Rarely,Sales,15,College,Life Sciences,1,Male,1,Sales Executive,Married,96790,4.0,Y,12,8,0,6.0,1,2,2,2,4.0,3.0,3.0,3,3,33-42
121,34,Yes,Non-Travel,Research & Development,7,Bachelor,Life Sciences,1,Male,1,Sales Representative,Single,56170,8.0,Y,25,8,1,9.0,3,5,0,4,1.0,4.0,2.0,3,4,33-42
122,55,No,Travel_Rarely,Sales,26,Bachelor,Marketing,1,Male,1,Laboratory Technician,Single,104480,2.0,Y,13,8,0,30.0,3,5,1,2,3.0,4.0,3.0,3,3,51-60
123,24,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Female,5,Manager,Divorced,28970,1.0,Y,18,8,3,5.0,4,5,0,3,4.0,3.0,4.0,3,3,24-33
124,30,No,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,1,Female,2,Manager,Married,59680,1.0,Y,13,8,0,1.0,3,1,0,0,3.0,2.0,3.0,3,3,24-33
125,26,Yes,Travel_Frequently,Sales,14,Bachelor,Life Sciences,1,Male,2,Manager,Single,75100,0.0,Y,18,8,3,7.0,3,6,0,4,3.0,3.0,3.0,3,3,24-33
126,22,No,Travel_Rarely,Research & Development,16,Doctor,Other,1,Male,1,Research Scientist,Married,29910,1.0,Y,19,8,2,2.0,3,2,1,2,1.0,2.0,3.0,2,3,15-24
127,36,No,Travel_Rarely,Research & Development,1,Bachelor,Medical,1,Female,5,Healthcare Representative,Married,196360,1.0,Y,12,8,1,10.0,3,10,9,0,2.0,3.0,3.0,3,3,33-42
128,30,Yes,Travel_Frequently,Sales,3,College,Marketing,1,Male,3,Research Scientist,Single,11290,9.0,Y,19,8,0,3.0,2,1,0,0,3.0,4.0,3.0,2,3,24-33
129,37,No,Travel_Rarely,Research & Development,10,Below College,Technical Degree,1,Male,1,Sales Executive,Divorced,133410,1.0,Y,14,8,1,18.0,3,18,12,17,4.0,1.0,2.0,3,3,33-42
130,40,No,Travel_Rarely,Research & Development,6,College,Medical,1,Male,3,Research Scientist,Divorced,43320,7.0,Y,14,8,2,8.0,3,5,1,3,4.0,2.0,3.0,2,3,33-42
131,42,No,Travel_Rarely,Research & Development,2,Bachelor,Medical,1,Female,4,Manager,Divorced,110310,3.0,Y,12,8,1,8.0,2,5,1,2,2.0,1.0,3.0,2,3,42-51
132,37,No,Travel_Rarely,Sales,9,Below College,Marketing,1,Male,3,Sales Executive,Single,44400,2.0,Y,11,8,1,18.0,3,1,0,1,3.0,2.0,2.0,2,3,33-42
133,43,No,Travel_Rarely,Sales,10,College,Life Sciences,1,Female,1,Sales Executive,Divorced,46170,1.0,Y,11,8,0,25.0,2,25,3,9,1.0,2.0,3.0,3,3,42-51
134,40,No,Travel_Rarely,Sales,6,College,Life Sciences,1,Female,1,Laboratory Technician,Married,26470,6.0,Y,13,8,0,20.0,2,1,0,0,2.0,3.0,3.0,2,3,33-42
135,54,No,Travel_Rarely,Human Resources,9,Bachelor,Life Sciences,1,Female,2,Manufacturing Director,Married,63230,4.0,Y,23,8,1,24.0,2,4,1,2,1.0,1.0,2.0,2,4,51-60
136,34,No,Non-Travel,Research & Development,28,Bachelor,Medical,1,Male,1,Laboratory Technician,Married,56770,9.0,Y,20,8,1,6.0,3,3,1,2,3.0,3.0,3.0,3,4,33-42
137,31,No,Travel_Rarely,Research & Development,10,Master,Life Sciences,1,Male,3,Sales Executive,Married,21870,1.0,Y,15,8,1,13.0,2,13,3,12,2.0,1.0,1.0,2,3,24-33
138,43,No,Travel_Frequently,Sales,14,Bachelor,Life Sciences,1,Female,1,Manufacturing Director,Married,37480,7.0,Y,14,8,2,,3,3,1,2,4.0,4.0,3.0,2,3,42-51
